央视频道,#genre#
CHC家庭影院,http://www.baopiqi.top:4022/rtp/239.45.0.40:5140 
CHC家庭影院,http://www.baopiqi.top:4022/rtp/239.45.1.22:5140 
CHC动作电影,http://www.baopiqi.top:4022/rtp/239.45.0.41:5140 
CHC影迷电影,http://www.baopiqi.top:4022/rtp/239.45.0.42:5140 
金鹰卡通,http://www.baopiqi.top:4022/udp/239.45.3.118:5140 
金鹰纪实,http://www.baopiqi.top:4022/udp/239.45.1.45:5140 
嘉佳卡通,http://www.baopiqi.top:4022/udp/239.45.1.48:5140 
卡酷动画,http://www.baopiqi.top:4022/udp/239.45.0.8:5140 
北京纪实,http://www.baopiqi.top:4022/udp/239.45.1.14:5140 
中国天气,http://www.baopiqi.top:4022/udp/239.45.1.47:5140 
陶瓷,http://www.baopiqi.top:4022/udp/239.45.3.50:5140 
百事通4K电影,http://www.baopiqi.top:4022/udp/239.45.3.107:5140 
百事通4K纪实,http://www.baopiqi.top:4022/udp/239.45.1.10:5140 
百事通4K儿童,http://www.baopiqi.top:4022/udp/239.45.1.1:5140 
家庭理财,http://www.baopiqi.top:4022/udp/239.45.0.14:5140 
新冠病毒,http://www.baopiqi.top:4022/udp/239.45.3.235:5140 
快乐垂钓,http://www.baopiqi.top:4022/udp/239.45.3.12:5140 
茶频道,http://www.baopiqi.top:4022/udp/239.45.3.18:5140 
频道,http://www.baopiqi.top:4022/udp/239.45.3.22:5140 
财富天下,http://www.baopiqi.top:4022/udp/239.45.0.7:5140 
空中课堂一年级,http://www.baopiqi.top:4022/udp/239.45.1.28:5140 
空中课堂二年级,http://www.baopiqi.top:4022/udp/239.45.1.73:5140 
空中课堂三年级,http://www.baopiqi.top:4022/udp/239.45.1.75:5140 
空中课堂四年级,http://www.baopiqi.top:4022/udp/239.45.1.72:5140 
空中课堂五年级,http://www.baopiqi.top:4022/udp/239.45.1.32:5140 
空中课堂六年级,http://www.baopiqi.top:4022/udp/239.45.1.33:5140 
空中课堂七年级,http://www.baopiqi.top:4022/udp/239.45.1.34:5140 
空中课堂八年级,http://www.baopiqi.top:4022/udp/239.45.1.35:5140 
空中课堂九年级,http://www.baopiqi.top:4022/udp/239.45.1.36:5140 
空中课堂高一年级,http://www.baopiqi.top:4022/udp/239.45.1.37:5140 
